Source_ID,SS,SSBS
AD1_2005__Blanche,AD1_2005__Blanche 1,AD1_2005__Blanche 1  1
AD1_2005__Blanche,AD1_2005__Blanche 1,AD1_2005__Blanche 1  2
AD1_2005__Blanche,AD1_2005__Blanche 1,AD1_2005__Blanche 1  3
AD1_2005__Blanche,AD1_2005__Blanche 1,AD1_2005__Blanche 1  4
AD1_2005__Blanche,AD1_2005__Blanche 1,AD1_2005__Blanche 1  5
AD1_2005__Blanche,AD1_2005__Blanche 1,AD1_2005__Blanche 1  6
AD1_2005__Blanche,AD1_2005__Blanche 1,AD1_2005__Blanche 1  7
AD1_2005__Blanche,AD1_2005__Blanche 1,AD1_2005__Blanche 1  8
AD1_2005__Blanche,AD1_2005__Blanche 1,AD1_2005__Blanche 1  9
AD1_2005__Hanley,AD1_2005__Hanley 1,AD1_2005__Hanley 1  1
AD1_2005__Hanley,AD1_2005__Hanley 1,AD1_2005__Hanley 1  2
AD1_2005__Hanley,AD1_2005__Hanley 1,AD1_2005__Hanley 1  3
AD1_2005__Hanley,AD1_2005__Hanley 1,AD1_2005__Hanley 1  4
AD1_2005__Hanley,AD1_2005__Hanley 1,AD1_2005__Hanley 1  5
AD1_2005__Hanley,AD1_2005__Hanley 1,AD1_2005__Hanley 1  6
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  1
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  10
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  11
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  12
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  13
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  14
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  15
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  16
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  17
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  18
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  19
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  2
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  20
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  21
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  22
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  23
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  24
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  25
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  3
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  4
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  5
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  6
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  7
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  8
AD1_2005__Shuler,AD1_2005__Shuler 1,AD1_2005__Shuler 1  9
AD1_2006__Blanche,AD1_2006__Blanche 2,AD1_2006__Blanche 2  1
AD1_2006__Blanche,AD1_2006__Blanche 2,AD1_2006__Blanche 2  2
AD1_2006__Blanche,AD1_2006__Blanche 2,AD1_2006__Blanche 2  3
AD1_2006__Blanche,AD1_2006__Blanche 2,AD1_2006__Blanche 2  4
AD1_2006__Blanche,AD1_2006__Blanche 2,AD1_2006__Blanche 2  5
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  1
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  10
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  100
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  101
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  102
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  103
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  104
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  105
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  106
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  107
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  108
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  109
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  11
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  110
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  111
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  112
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  114
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  115
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  116
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  117
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  118
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  119
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  12
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  120
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  121
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  122
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  123
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  13
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  14
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  15
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  16
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  17
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  18
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  19
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  2
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  20
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  21
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  22
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  24
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  25
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  26
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  28
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  29
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  3
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  30
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  31
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  32
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  33
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  34
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  35
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  36
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  37
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  39
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  4
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  40
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  41
AD1_2006__Diekoetter,AD1_2006__Diekoetter 1,AD1_2006__Diekoetter 1  42
